key,zh-CN-zai,zh-CN-gl,zh-TW,en-US,ko-KR,ja-JP,th-TH,id-ID,ru-RU,it-IT,pt-BR,es-ES,vi-VN,fr-FR,tr-TR
Barrage_hunter_18,瞅你咋地！,瞅你咋地！,看得特別清楚啊？,I see you!,되게 잘 보이는데?,見つけた！,เห็นชัดเลย,Aku melihatmu!,Я тебя вижу!,Ti vedo!,Tô te vendo!,¡Te veo!,Tìm thấy cậu rồi!,Je te vois !,Seni görüyorum!
Barrage_common_1,我想当躲藏者......,我想当躲藏者......,我真的很會躲耶！,No one can find mel,나 진짜 잘 숨을 수 있는데!,私本当に隠れるのうまいよ！,ฉันซ่อนเก่งจริงๆ นะ!,Aku pandai bersembunyi!,Я очень хорошо прячусь!,Sono davvero un asso a nascondermi!,Se esconder é comigo mesmo!,¡Sé esconderme muy bien!,Ta có thể trốn rất giỏi!,Je suis doué pour bien me cacher !,Gerçekten iyi saklanabiliyorum!
Barrage_common_2,我想当寻找者......,我想当寻找者......,好想做追捕者,I want to be the hunter,아 술래 하고싶다,鬼やりたいな〜,ฉันอยากเป็นฮันเตอร์,Aku ingin menjadi pemburu,Я хочу быть охотником,Voglio giocare come cercatore,Quero jogar de caçador,Quiero ser cazador,Ta muốn trở thành thợ săn,Je veux être le chasseur,Arayıcı olmak istiyorum
Barrage_common_3,嘤嘤嘤......,嘤嘤嘤......,嗚嗚,ㅠㅠ,ㅠㅠ,（ ; ; ）,TT,T_T,ㅠㅠ,ㅠㅠ,ㅠㅠ,ㅠㅠ,ㅠㅠ,ㅠㅠ,ㅠㅠ
Barrage_common_4,不要跑，决战到天亮！！！,不要跑，决战到天亮！！！,趕緊出來吧~你們都在哪裡？！,"Come out, come out, wherever you are!",그만 숨고 나오시지?!,もう隠れるのやめて出てきて！,เลิกซ่อนแล้วออกมาซะดีๆ!,"Di mana pun kamu berada, keluarlah!","Выходите, выходите, где бы вы ни были!","Vieni fuori, vieni fuori, ovunque tu sia!","Vamos, apareça de onde está!","¡Salgan, salgan de donde quiera que estén!","Ra đây, ra đây xem nào, dù ngươi đang ở đâu!","Sors, sors, où que tu sois !","Elma dersem çık, armut dersem çıkma!"
Barrage_common_5,证明你眼神的时候到了！！！,证明你眼神的时候到了！！！,這簡直是個視力檢查。呵呵,"Wow, quite the eyesight you got!",완전 시력검사 수준 ㅋㅋㅋ,うますぎてコワイ。笑,ว้าว สายตาดีมาก 555,"Wow, penglihatan yang bagus!","Ого, а у тебя острый взгляд!","Wow, hai davvero una vista da falco!","Eita, que olho de ninja!",¡Sí que tienes buena vista!,"Quào, mắt ngươi tinh thật đấy!","Ouah, quelle vue tu as !","Vay be, gözlerin sağlammış!"
Barrage_common_6,宝贝们，互关吗～,宝贝们，互关吗～,要互追嗎？,Want to follow each other?,맞팔하실래요?,相互フォローする人！,มาแลกฟอลกันไหม?,Saling follow akun yuk!,Как насчет взаимной подписки?,Ci seguiamo a vicenda?,Que tal um seguir o outro?,¿Quieres que nos sigamos mutuamente?,Mình follow nhau nhé?,Tu veux qu'on se suive ?,Birbirimizi takip edelim mi?
Barrage_common_7,没发弹幕就是在要饭！！！,没发弹幕就是在要饭！！！,大家為什麼都這麼安靜？,Why so quiet? lol,왜 다들 조용해요 ㅋㅋㅋ,みんな何でこんな静かなの。笑,ทำไมเงียบกันจังล่ะ 555,Kenapa sepi sekali? haha,Что так тихо? лол,Come mai c’è questo silenzio? lol,Que calmaria é essa? rsrs,¿A qué viene tanto silencio? Ja,Sao im ắng thế? lol,Pourquoi c'est si calme ? lol,Ortalık neden bu kadar sessiz? hehe
Barrage_common_8,快点啊，我等到花儿都谢了！！！,快点啊，我等到花儿都谢了！！！,還要等多久啊？！,What's taking so long?!,기다리다 해 다 지겠다!,待ってたら日が暮れちゃいそうだよ！,มัวแต่รอก็แพ้น่ะสิ!,Nunggu sampai lumutan nih!,Что так долго?!,Perché ci vuole così tanto tempo?!,Por que essa demora?!,¡¿Por qué tardan tanto?!,Chờ cái gì lâu vậy?!,Pourquoi c'est si long ?,Neden bu kadar uzun sürdü?!
Barrage_common_9,交个朋友！,交个朋友！,與我一起做朋友吧！,Let's be friends!,나랑 친구하자!,フレンズになろう！,เรามาเป็นเพื่อนกันเถอะ!,Ayo berteman!,Давай дружить!,Facciamo amicizia!,Vamos fazer amizade!,¡Trabemos amistad!,Làm bạn nhé!,Soyons potes !,Hadi arkadaş olalım!
Barrage_common_10,新年快乐！,新年快乐！,捉迷藏真的很好玩 嘿嘿,Hide & Seek is so fun!,술래잡기 진짜 재밌엌ㅋ,かくれんぼめっちゃ楽しい！,เกมซ่อนหาสนุกจัง 55,Petak Umpet seru banget!,Играть в прятки весело!,Nascondino è un vero spasso!,Esconde-Esconde é tão divertido!,¡Jugar al escondite es tan divertido!,Trốn Tìm thật vui!,Cache-Cache est trop cool,Saklambaç acayip eğlenceli!
Barrage_common_11,又见面啦！,又见面啦！,又見面了？！,Good to see you again!,또 만났네?!,また会ったね？！,เจอกันอีกแล้ว!,Senang bertemu lagi!,Здорово снова видеть тебя!,Che bello rivederti!,Que bom te ver de novo!,¡Qué alegría verte otra vez!,Lại gặp nhau rồi!,C'est bon de te revoir !,Seni tekrar görmek güzel!
Barrage_common_12,我要大战300回合！,我要大战300回合！,一整天可以做的！,I can do this all day!,하루 종일 할 수 있어!,１日中できちゃう！,ให้เล่นทั้งวันเลยก็ยังได้!,Aku bisa bermain seharian!,Я могу так весь день!,Vorrei davvero giocare tutto il giorno!,Posso passar o dia todo nisso!,¡Podría pasarme el día así!,Mình chơi cả ngày luôn cũng được!,Je peux faire ça toute la journée !,Bunu bütün gün yapabilirim!
Barrage_common_13,处闺吗？,处闺吗？,要當真的朋友嗎？,Wanna be friends?,찐친할래?,親友になる？,มาเป็นเพื่อนกันไหม?,Ingin berteman?,Давай дружить!,Facciamo amicizia?,Quer amizade comigo?,¿Buscas amistad?,Làm bạn không?,Vous voulez qu'on soit amis ?,Arkadaş olalım mı?
Barrage_common_14,嘻嘻嘻嘻嘻,嘻嘻嘻嘻嘻,嘿嘿嘿,Lol,ㅋㅋㅋㅋㅋㅋㅋㅋ,wwwwwwww,5555555555,Wkwkwkwk,Lol,Lol,rsrsrs,Ja,Lol,Lol,Lol
Barrage_common_15,你瞅啥？,你瞅啥？,是在看我嗎？,Looking for me?,나 보는 거야?,私を見てるの？,หาฉันอยู่เหรอ?,Mencariku?,Меня ищешь?,Mi stai cercando?,Procurando por mim?,¿Me buscabas?,Đang tìm tớ á?,C'est moi que tu cherches ?,Beni mi arıyorsun?
Barrage_common_16,瞅你咋地！,瞅你咋地！,看得特別清楚啊？,I see you!,되게 잘 보이는데?,見つけた！,เห็นชัดเลย,Aku melihatmu!,Я тебя вижу!,Ti vedo!,Tô te vendo!,¡Te veo!,Tớ thấy cậu rồi!,Je vous vois !,Seni görüyorum!
Zem_btn_1,排行夺钻石,排行夺钻石,,,,,,,,,,,,,
Zem_btn_2,每周领钻石,每周领钻石,,,,,,,,,,,,,
Zem_btn_3,夺宝送钻石,夺宝送钻石,,,,,,,,,,,,,
Week_activity_1,周活跃重置：每周一{0}点,周活跃重置：每周一{0}点,,,,,,,,,,,,,
Star_Reward_1,星星夺宝,星星夺宝,,,,,,,,,,,,,
Star_Reward_2,幸运值{0}，必定获得钻石奖励,星幸运值{0}，必定获得钻石奖励星夺宝,,,,,,,,,,,,,
Star_Reward_3,当前幸运值,当前幸运值,,,,,,,,,,,,,
Star_Reward_4,今日还有{0}次夺宝机会,今日还有{0}次夺宝机会,,,,,,,,,,,,,
Star_Reward_Rule_1,夺宝规则说明,夺宝规则说明,,,,,,,,,,,,,
Star_Reward_Rule_2,1.每次花费80颗星星可以夺宝1次，每人每日最多可夺宝5次。<br><br>2.每次夺宝可获得2点幸运值，当幸运值满100时，100%暴击获得钻石奖励。<br><br>3.每次夺宝有机会获得金币和钻石，金币概率92%，钻石概率8%。,1.每次花费80颗星星可以夺宝1次，每人每日最多可夺宝5次。<br><br>2.每次夺宝可获得2点幸运值，当幸运值满100时，100%暴击获得钻石奖励。<br><br>3.每次夺宝有机会获得金币和钻石，金币概率92%，钻石概率8%。,,,,,,,,,,,,,
Star_Reward_Rule_3,我知道了,我知道了,,,,,,,,,,,,,
Feed_success,分享成功,分享成功,,,,,,,,,,,,,
Feed_fail,分享失败,分享失败,,,,,,,,,,,,,
Zem_btn_4,冲赛季拿钻石,冲赛季拿钻石
TIME_TEXT_1,天,天
TIME_TEXT_2,小时,小时
TIME_TEXT_3,分,分
TIME_TEXT_4,秒,秒
Season_End_Time,赛季剩余时间：{0},赛季剩余时间：{0}
Season_Reward_Rule,1.每周一{0}点为赛季结束时间<br>2.赛季结束自动重置积分和奖励，请即时领取奖励，过期作废,1.每周一{0}点为赛季结束时间<br>2.赛季结束自动重置积分和奖励，请即时领取奖励，过期作废
CHEST_TITLE,在线领福利,在线领福利,,,,,,,,,,,,,
CHEST_HINT,去躲猫猫小镇成功获得钥匙，才能解锁该活动喔~活动每日0点重置,去躲猫猫小镇成功获得钥匙，才能解锁该活动喔~活动每日0点重置,,,,,,,,,,,,,
CHEST_ONLINETIME,在线{0}分钟,在线{0}分钟,,,,,,,,,,,,,
CHEST_GET,领取,领取,,,,,,,,,,,,,
CHEST_GETED,明日再来吧,明日再来吧,,,,,,,,,,,,,
CHEST_GOTO,前往获得,前往获得,,,,,,,,,,,,,
GOTOWORLD_TITLE,确认提示,确认提示,,,,,,,,,,,,,
GOTOWORLD_TEXT,确定去【躲猫猫小镇】中获得钥匙吗？,确定去【躲猫猫小镇】中获得钥匙吗？,,,,,,,,,,,,,
Zem_btn_5,在线领福利,在线领福利,,,,,,,,,,,,,
